ID; Date; type; name; number; cost; totCost;;;;;;
186;20121222;Еда;Гвоздика;1.0;3.89;3.89;;;;;;
187;20121222;Еда;Базилик сушеный;1.0;3.49;3.49;;;;;;
188;20121222;Хоз.Товары;Кружка эмалированая 1.5 литра;1.0;45.0;45.0;;;;;;
189;20121225;Еда;Яйца;10.0;1.247;12.469999;;;;;;
190;20121225;Хоз.Товары;Стиральный порошок Tide;1.0;8.39;8.39;;;;;;
191;20121225;Еда;Свинина подчеревка;1.2;50.0;60.000004;;;;;;
192;20121225;Еда;Куриное филе;1.05;40.14;42.146996;;;;;;
193;20121226;Еда;Мандарины;1.2;18.0;21.6;;;;;;
194;20121226;Еда;бананы;1.1;14.3;15.7300005;;;;;;
195;20121228;Хоз.Товары;Шланг заливной для стиральной машины;1.0;20.09;20.09;;;;;;
